expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/23/2015,515.0,Put,GOOG  150123P00515000,9.950,9.10,10.80,1.60,19.1617,0,42,9.9500,0.2875,29.2789,-0.3664,0.0100,-0.3114,-0.0320,0.5028,-0.1161
01/23/2015,517.5,Call,GOOG  150123C00517500,20.500,19.60,21.40,-2.10,-9.292,0,0,20.5000,0.2988,29.0163,0.6050,0.0098,-0.3319,-0.0294,0.5088,0.1878
01/23/2015,517.5,Put,GOOG  150123P00517500,10.800,9.90,11.70,1.75,19.337,0,41,10.8000,0.2838,29.0163,-0.3911,0.0103,-0.3133,-0.0328,0.5067,-0.1237
01/23/2015,520.0,Call,GOOG  150123C00520000,19.000,18.10,19.90,-1.95,-9.3079,3,28,19.0000,0.297,28.7625,0.5803,0.0100,-0.3348,-0.0297,0.5164,0.1805
01/23/2015,520.0,Put,GOOG  150123P00520000,11.650,10.60,12.70,1.70,17.0854,1,142,11.6500,0.2794,28.7625,-0.4165,0.0106,-0.3134,-0.0339,0.5182,-0.1308
01/23/2015,522.5,Call,GOOG  150123C00522500,17.500,16.60,18.40,-1.80,-9.3264,0,6,17.5000,0.2941,28.5178,0.5553,0.0102,-0.3351,-0.0303,0.5221,0.1732
01/23/2015,522.5,Put,GOOG  150123P00522500,12.850,11.90,13.80,2.10,19.5349,5,94,12.8500,0.2807,28.5178,-0.4434,0.0107,-0.3189,-0.0336,0.5195,-0.1389
01/23/2015,525.0,Call,GOOG  150123C00525000,16.050,15.20,16.90,-1.70,-9.5775,4,146,16.0500,0.2909,28.2821,0.5297,0.0104,-0.3337,-0.0310,0.5257,0.1656
01/23/2015,525.0,Put,GOOG  150123P00525000,13.700,12.50,14.90,1.95,16.5957,0,81,13.7000,0.2735,28.2821,-0.4703,0.0111,-0.3127,-0.0353,0.5261,-0.1466
01/23/2015,527.5,Call,GOOG  150123C00527500,14.750,13.90,15.60,-1.55,-9.5092,0,44,14.7500,0.2894,28.0556,0.5036,0.0104,-0.3328,-0.0314,0.5271,0.1578
01/23/2015,527.5,Put,GOOG  150123P00527500,15.150,14.00,16.30,2.30,17.8988,0,3,15.1500,0.2768,28.0556,-0.4976,0.0110,-0.3173,-0.0345,0.5274,-0.1542
01/23/2015,530.0,Call,GOOG  150123C00530000,13.450,12.60,14.30,-1.50,-10.0334,21,161,13.4500,0.2866,27.8383,0.4772,0.0105,-0.3290,-0.0320,0.5263,0.1498
01/23/2015,530.0,Put,GOOG  150123P00530000,16.350,15.20,17.50,2.45,17.6259,2,18,16.3500,0.2743,27.8383,-0.5253,0.0110,-0.3140,-0.0352,0.5286,-0.1618
01/23/2015,532.5,Call,GOOG  150123C00532500,12.200,11.30,13.10,-1.45,-10.6227,2,98,12.2000,0.2835,27.6303,0.4503,0.0106,-0.3234,-0.0327,0.5231,0.1417
01/23/2015,532.5,Put,GOOG  150123P00532500,17.650,16.50,18.80,2.55,16.8874,0,17,17.6500,0.2718,27.6303,-0.5531,0.0111,-0.3087,-0.0358,0.5247,-0.1696
