expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/30/2015,2.0,Call,ZNGA  150130C00002000,0.675,0.61,0.74,-0.11,-14.0127,0,1050,0.6876,0.8026,66.2229,0.9123,0.2603,-0.0016,-159.3717,0.0012,0.0014
01/30/2015,2.0,Put,ZNGA  150130P00002000,0.000,0.00,0.08,0.00,0,0,0,0.0097,0.6245,66.2229,-0.0462,0.2032,-0.0008,-264.5846,0.0007,-0.0001
01/30/2015,2.5,Call,ZNGA  150130C00002500,0.325,0.25,0.40,-0.03,-8.4507,0,72,0.3250,0.8026,66.2229,0.6500,0.6052,-0.0038,-159.8927,0.0028,0.0012
01/30/2015,2.5,Put,ZNGA  150130P00002500,0.115,0.09,0.14,0.01,4.5455,0,15,0.1150,0.6245,66.2229,-0.3311,0.7644,-0.0029,-264.9407,0.0028,-0.0008
01/30/2015,3.0,Call,ZNGA  150130C00003000,0.095,0.07,0.12,-0.03,-26.9231,2,274,0.0950,0.6979,66.2229,0.3084,0.6614,-0.0031,-211.5662,0.0027,0.0006
01/30/2015,3.0,Put,ZNGA  150130P00003000,0.440,0.39,0.49,0.06,17.3333,0,0,0.4400,0.7176,66.2229,-0.6851,0.6519,-0.0032,-201.0080,0.0028,-0.0016
01/30/2015,3.5,Call,ZNGA  150130C00003500,0.070,0.02,0.12,-0.01,-12.5,0,0,0.0238,0.6979,66.2229,0.1019,0.3343,-0.0016,-211.7004,0.0014,0.0002
01/30/2015,3.5,Put,ZNGA  150130P00003500,0.865,0.68,1.05,0.02,2.3669,0,0,0.8661,0.7176,66.2229,-0.8915,0.3418,-0.0017,-202.1053,0.0014,-0.0018
02/06/2015,1.5,Call,ZNGA  150206C00001500,1.200,1.01,1.39,-0.01,-0.8264,0,0,1.1628,0.8178,71.7027,0.9901,0.0381,-0.0003,-149.8661,0.0002,0.0015
02/06/2015,1.5,Put,ZNGA  150206P00001500,0.000,0.00,0.10,0.00,0,0,0,0.0008,0.7073,71.7027,-0.0039,0.0195,-0.0001,-205.3684,0.0001,-0.0000
02/06/2015,2.0,Call,ZNGA  150206C00002000,0.705,0.64,0.77,-0.10,-12.4224,0,0,0.7017,0.8178,71.7027,0.8899,0.2716,-0.0018,-153.5421,0.0016,0.0017
02/06/2015,2.0,Put,ZNGA  150206P00002000,0.080,0.02,0.14,-0.08,-51.5152,0,0,0.0252,0.7073,71.7027,-0.0835,0.2570,-0.0012,-206.4273,0.0013,-0.0002
02/06/2015,2.5,Call,ZNGA  150206C00002500,0.355,0.31,0.40,-0.01,-2.7397,0,0,0.3550,0.8178,71.7027,0.6440,0.5381,-0.0035,-153.9519,0.0032,0.0014
02/06/2015,2.5,Put,ZNGA  150206P00002500,0.160,0.15,0.17,0.00,3.2258,130,0,0.1600,0.7073,71.7027,-0.3486,0.6200,-0.0030,-206.5965,0.0032,-0.0010
02/06/2015,3.0,Call,ZNGA  150206C00003000,0.125,0.10,0.15,-0.02,-13.7931,11,1,0.1250,0.7266,71.7027,0.3433,0.5976,-0.0031,-195.1728,0.0031,0.0008
02/06/2015,3.0,Put,ZNGA  150206P00003000,0.460,0.44,0.48,0.08,22.6667,0,0,0.4600,0.7116,71.7027,-0.6618,0.6092,-0.0030,-204.5143,0.0031,-0.0019
02/06/2015,3.5,Call,ZNGA  150206C00003500,0.075,0.02,0.13,-0.01,-11.7647,0,0,0.0406,0.7266,71.7027,0.1424,0.3658,-0.0019,-195.2001,0.0019,0.0003
02/06/2015,3.5,Put,ZNGA  150206P00003500,0.845,0.72,0.97,-0.01,-1.1696,0,0,0.8772,0.7116,71.7027,-0.8646,0.3628,-0.0018,-205.5711,0.0018,-0.0023
02/13/2015,1.5,Call,ZNGA  150213C00001500,1.040,0.84,1.24,N/A,N/A,0,0,1.1641,0.7933,70.8449,0.9867,0.0465,-0.0003,-159.7491,0.0003,0.0018
02/13/2015,1.5,Put,ZNGA  150213P00001500,0.000,0.00,0.10,N/A,N/A,0,0,0.0016,0.7069,70.8449,-0.0070,0.0298,-0.0001,-207.0278,0.0002,-0.0000
02/13/2015,2.0,Call,ZNGA  150213C00002000,0.700,0.66,0.74,N/A,N/A,0,0,0.7095,0.7933,70.8449,0.8798,0.2734,-0.0017,-163.1080,0.0019,0.0020
02/13/2015,2.0,Put,ZNGA  150213P00002000,0.075,0.01,0.14,N/A,N/A,0,0,0.0341,0.7069,70.8449,-0.0993,0.2674,-0.0013,-206.6623,0.0016,-0.0004
02/13/2015,2.5,Call,ZNGA  150213C00002500,0.370,0.28,0.46,N/A,N/A,0,0,0.3700,0.7933,70.8449,0.6420,0.5097,-0.0031,-163.5619,0.0034,0.0016
02/13/2015,2.5,Put,ZNGA  150213P00002500,0.180,0.16,0.20,N/A,N/A,0,0,0.1800,0.7069,70.8449,-0.3532,0.5715,-0.0028,-206.9084,0.0034,-0.0012
02/13/2015,3.0,Call,ZNGA  150213C00003000,0.140,0.11,0.17,N/A,N/A,10,0,0.1400,0.71,70.8449,0.3580,0.5694,-0.0028,-204.3229,0.0034,0.0010
