expdate,strike,Call/Put,Symbol,Price,Bid,Ask,Change,Percent Change,Volume,Open Interest,Option Value,IV,Param IV,Delta,Gamma,Theta,Alpha,Vega,Rho
01/23/2015,11.5,Call,BBRY  150123C00011500,0.280,0.25,0.31,-0.03,-11.1111,120,197,0.2800,0.4418,43.8736,0.3591,0.3070,-0.0099,-30.9715,0.0103,0.0023
01/23/2015,11.5,Put,BBRY  150123P00011500,0.810,0.77,0.85,0.01,0.6211,0,0,0.8100,0.4525,43.8736,-0.6370,0.3023,-0.0102,-29.6818,0.0102,-0.0042
01/23/2015,12.0,Call,BBRY  150123C00012000,0.160,0.14,0.18,-0.02,-11.1111,20,777,0.1600,0.4503,45.0768,0.2332,0.2465,-0.0083,-29.8219,0.0084,0.0015
01/23/2015,12.0,Put,BBRY  150123P00012000,1.190,1.15,1.23,0.02,1.2766,0,10,1.1900,0.4631,45.0768,-0.7600,0.2445,-0.0086,-28.3789,0.0087,-0.0048
01/30/2015,10.0,Call,BBRY  150130C00010000,1.190,1.07,1.31,-0.04,-3.252,0,349,1.1900,0.4757,49.0404,0.7748,0.2004,-0.0075,-26.6362,0.0094,0.0060
01/30/2015,10.0,Put,BBRY  150130P00010000,0.220,0.18,0.26,0.00,2.3256,30,27,0.2200,0.4873,49.0404,-0.2295,0.1984,-0.0078,-25.5418,0.0097,-0.0021
01/30/2015,10.5,Call,BBRY  150130C00010500,0.855,0.79,0.92,-0.03,-3.3898,0,290,0.8550,0.475,45.5855,0.6545,0.2466,-0.0092,-26.7496,0.0116,0.0052
01/30/2015,10.5,Put,BBRY  150130P00010500,0.350,0.33,0.37,-0.01,-4.1096,18,167,0.3500,0.4542,45.5855,-0.3410,0.2576,-0.0088,-29.4199,0.0115,-0.0031
01/30/2015,11.0,Call,BBRY  150130C00011000,0.535,0.51,0.56,-0.06,-10.084,66,614,0.5350,0.4332,43.8409,0.5194,0.2922,-0.0091,-32.1752,0.0125,0.0042
01/30/2015,11.0,Put,BBRY  150130P00011000,0.585,0.55,0.62,0.01,1.7391,50,81,0.5850,0.4581,43.8409,-0.4790,0.2776,-0.0096,-28.9419,0.0125,-0.0043
